Date,Product,Region,Sales,Profit
2024-01-01,Smartphone,West,4333.168407699329,808.1457650745028
2024-01-02,Smartphone,West,4897.497003513653,857.2633839855113
2024-01-03,Laptop,North,941.9857496912532,326.0208843961378
2024-01-04,Laptop,East,3195.579233787898,542.9680998869455
2024-01-05,Smartphone,South,1373.4723242673651,
2024-01-06,Laptop,South,177.29929005053282,58.266038800661605
2024-01-07,Laptop,South,2288.345815268947,296.2676074573304
2024-01-08,Laptop,East,3371.6991037040757,801.5903286185428
2024-01-09,Laptop,South,2561.1842366934693,895.8061942812528
2024-01-10,Laptop,East,709.1618860012545,131.56203049177194
2024-01-11,Accessory,North,2691.741311360033,619.7706464912624
2024-01-12,Laptop,East,326.24180459244536,113.30875752084076
2024-01-13,Tablet,West,750.535439157483,137.82247006037932
2024-01-14,Smartphone,East,3179.986036361486,762.3998214187764
2024-01-15,Smartphone,North,4742.20753722827,1624.4704690202593
2024-01-16,Tablet,South,3920.9888660154866,655.3105433485102
2024-01-17,Laptop,South,4080.3219245252276,608.1073493079856
2024-01-18,Accessory,North,1936.6759779614447,667.9957095977492
2024-01-19,Laptop,North,1526.7698025954603,462.71582448003375
2024-01-20,Smartphone,West,3922.5918664166215,668.7883044170247
2024-01-21,Smartphone,East,3805.265390348851,1452.044210092744
2024-01-22,Smartphone,East,944.1926431600364,172.76111026002977
2024-01-23,Laptop,West,4340.384759348602,1607.5423589198158
2024-01-24,Accessory,North,4640.239696328211,465.7725288984124
2024-01-25,Tablet,East,2433.76778507101,595.3022712886418
2024-01-26,Laptop,East,3932.0071299451574,996.2820912633955
2024-01-27,Laptop,East,1369.2192128869424,324.42186277033824
2024-01-28,Smartphone,South,3663.4492371161846,861.9658570223331
2024-01-29,Smartphone,North,3922.323419639148,1230.3452007416133
2024-01-30,Smartphone,North,,972.6580734598314
2024-01-31,Tablet,East,967.5550371850684,204.6470571469102
2024-02-01,Laptop,West,4550.770573366977,996.2047617633533
2024-02-02,Smartphone,West,1968.7001559487064,384.0521800012732
2024-02-03,Smartphone,South,1852.1312106930093,402.8656522436089
2024-02-04,Tablet,East,2688.4873998770854,471.2445380887181
2024-02-05,Laptop,North,1321.3033396144563,352.86264369475555
2024-02-06,Accessory,North,2174.9909169190323,441.9236506709309
2024-02-07,Smartphone,West,3080.0912100650316,497.1802175158224
2024-02-08,Laptop,East,566.4005628259811,109.60244492276718
2024-02-09,Laptop,West,2614.3681809008935,658.9858028241807
2024-02-10,Laptop,North,1345.422346319503,476.6789204193408
2024-02-11,Tablet,East,4413.110672761995,815.0305055836127
2024-02-12,Tablet,East,698.0108666344767,170.49636165303542
2024-02-13,Laptop,South,3157.359132989562,339.8253238038102
2024-02-14,Laptop,North,3361.48073006248,1179.233949706211
2024-02-15,Accessory,East,3204.7677420306213,726.2222415526937
2024-02-16,Tablet,East,4181.714288216551,1068.5646617455627
2024-02-17,Laptop,West,937.9116223263419,332.59196221151063
2024-02-18,Laptop,East,2429.5247104315918,341.0338418194574
2024-02-19,Tablet,West,2772.185353015207,1004.9694670823147
2024-02-20,Laptop,North,4468.918581272236,1187.0092002110475
2024-02-21,Accessory,West,4287.113070311024,430.2318521992276
2024-02-22,Smartphone,East,3526.299731832822,1147.8533978408836
2024-02-23,Smartphone,South,4684.15148360141,1510.3772448861807
2024-02-24,Tablet,North,2573.4369163682227,480.31861806317323
2024-02-25,Tablet,East,4581.700340081872,1180.0329444266192
2024-02-26,Tablet,North,2065.980185094091,804.0334116489896
2024-02-27,Laptop,West,676.0792519154503,118.73993863931119
2024-02-28,Tablet,South,490.16752874580214,186.75519060221234
2024-02-29,Smartphone,South,3636.4805878649354,1287.1694483764484
